Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
A1CF	APOBEC1 complementation factor	29974	10:52566322-52645435	2		11.23	yes		melanoma			E		oncogene	Mis				"ACF,ACF64,ACF65,APOBEC1CF,ASP,CCDS7243.1,ENSG00000148584.10,NM_138933.2,NP_620311.1,Q9NQ94"
ABI1	abl-interactor 1	10006	10:27035522-27149864	1	Yes	12.1	yes		AML			L	Dom	"TSG, fusion"	T	KMT2A			"ABI-1,CCDS7150.1,E3B1,ENSG00000136754.12,NM_005470.3,NP_005461.2,Q8IZP0,SSH3BP1"
ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	25	9:133589333-133761070	1	Yes	34.12	yes		"CML, ALL, T-ALL"			L	Dom	"oncogene, fusion"	"T, Mis"	"BCR, ETV6, NUP214"			"ABL,CCDS35165.1,ENSG00000097007.13,JTK7,NM_007313.2,NP_009297.2,P00519,c-ABL,p150"
ABL2	"c-abl oncogene 2, non-receptor tyrosine kinase"	27	1:179068462-179198736	1		25.2	yes		AML			L	Dom	"oncogene, fusion"	T	ETV6			"ABLL,ARG,CCDS30947.1,ENSG00000143322.15,NM_007314.3,NP_001161709.1,NP_001161708.1,NP_001161710.1,NP_009298.1,P42684"
ACKR3	atypical chemokine receptor 3	57007	2:237478284-237491001	1	Yes	37.3	yes		lipoma			M	Dom	"oncogene, fusion"	T	HMGA2			"CCDS2516.1,CMKOR1,CXCR7,ENSG00000144476.5,GPR159,NM_020311.2,NP_064707.1,P25106,RDC1"
ACSL3	acyl-CoA synthetase long-chain family member 3	2181	2:223725652-223809357	1	Yes	36.1	yes		prostate			E	Dom	fusion	T	ETV1			"ACS3,CCDS2455.1,ENSG00000123983.9,FACL3,NM_004457.3,NP_004448.2,O95573,PRO2194"
ACSL6	acyl-CoA synthetase long-chain family member 6	23305	5:131285666-131347355	2		31.1	yes		"AML, AEL"			L	Dom	fusion	T	ETV6			"ACS2,CCDS34229.1,ENSG00000164398.8,FACL6,KIAA0837,LACS2,LACS5,NM_001009185.2,NP_001009185.1,Q9UKU0"
ACVR1	"activin A receptor, type I"	90	2:158592958-158731623	1	Yes	24.1	yes		DIPG			O	Dom	oncogene	Mis		yes	Fibrodysplasia ossificans progressiva	"ACVR1A,ACVRLK2,ALK2,CCDS2206.1,ENSG00000115170.9,NM_001105.4,NP_001096.1,Q04771,SKR1"
ACVR1B	Activin A Receptor Type 1B	91	12:52345485-52388001	1		13.13	yes		pancreatic cancer			E		TSG	"D, F, Mis, N"				"ACVRLK4,ALK4,ActRIB,CCDS44894.2,ENSG00000135503.8,P36896,SKR2"
ACVR2A	activin A receptor type 2A	92	2:148602086-148688393	1	Yes	22.3	yes		"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus"			E	Rec	TSG	"Mis, N, F"				"ACTRII,ACVR2,CCDS33301.1,ENSG00000121989.10,NM_001616.4,NP_001607.1,NP_001265508.1,P27037"
AFDN	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)"	4301	6:168227671-168364976	1		27	yes		AL			L	Dom	"oncogene, fusion"	T	KMT2A			"AF-6,AF6,CCDS47517.1,ENSG00000130396.16,MLLT4,NM_001040000.2,NP_001035089.1,P55196"
AFF1	"AF4/FMR2 family, member 1"	4299	4:87856154-88062206	1	Yes	22.1	yes		AL			L	Dom	fusion	T	KMT2A			"AF-4,AF4,CCDS54775.1,ENSG00000172493.16,MLLT2,NM_001166693.1,NP_001160165.1,P51825,PBM1"
AFF3	"AF4/FMR2 family, member 3"	3899	2:100163718-100722045	1	Yes	11.2	yes		"ALL, T-ALL"			L	Dom	"oncogene, fusion"	T	"KMT2A, RUNX1"			"CCDS33258.1,ENSG00000144218.14,LAF4,MLLT2-like,NM_001025108.1,NP_001020279,NP_001020279.1,P51826"
AFF4	"AF4/FMR2 family, member 4"	27125	5:132211071-132299326	1	Yes	31.1	yes		ALL			L	Dom	"oncogene, fusion"	T	KMT2A			"AF5Q31,CCDS4164.1,ENSG00000072364.8,MCEF,NM_014423.3,NP_055238.1,Q9UHB7"
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	10142	7:91570181-91739987	2		21.2	yes		papillary thyroid			E	Dom	fusion	T	BRAF			"AKAP350,AKAP450,CCDS5622.1,CG-NAP,ENSG00000127914.12,HYPERION,KIAA0803,LQT11,MU-RMS-40.16A,NM_147185.2,NP_671714.1,NP_005742.4,PPP1R45,PRKA9,Q99996,YOTIAO"
AKT1	v-akt murine thymoma viral oncogene homolog 1	207	14:105235686-105260461	1	Yes	32.33	yes		"breast, colorectal, ovarian, NSCLC"			E	Dom	oncogene	Mis				"AKT,CCDS9994.1,ENSG00000142208.11,P31749,PKB,PRKBA,RAC"
AKT2	v-akt murine thymoma viral oncogene homolog 2	208	19:40736224-40791302	1		13.2	yes		"ovarian, pancreatic"			E	Dom	oncogene	A				"CCDS12552.1,ENSG00000105221.12,NM_001626.4,NP_001229957.1,NP_001229956.1,NP_001617.1,P31751"
AKT3	v-akt murine thymoma viral oncogene homolog 3	10000	1:243665065-244013430	2		44	yes		GBM			O		oncogene	A				"CCDS31077.1,ENSG00000117020.12,PKBG,PRKBG,Q9Y243,RAC-gamma"
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	217	12:112204726-112247782	2		24.12	yes		leiomyoma			M	Dom	fusion	T	HMGA2			"CCDS9155.1,ENSG00000111275.8,NM_000690.3,NP_000681.2,P05091"
ALK	anaplastic lymphoma kinase (Ki-1)	238	2:29415640-30144432	1	Yes	23.2	yes	yes	"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour"	neuroblastoma	familial neuroblastoma	"L, E, M"	Dom	"oncogene, fusion"	"T, Mis, A"	"NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1"			"CCDS33172.1,CD246,ENSG00000171094.11,NM_004304.4,NP_004295.2,Q9UM73"
AMER1	APC membrane recruitment protein 1	139285	X:63404997-63425624	1	Yes	11.2	yes		Wilms tumour			O	Rec	TSG	"F, D, N, Mis"				"CCDS14377.2,ENSG00000184675.5,FAM123B,FLJ39827,NM_152424.3,NP_689637.3,Q5JTC6,RP11-403E24.2,WTX"
ANK1	ankyrin 1	286	8:41512843-41754280	2		11.21	yes		CCRCC			E			Mis				"ANK,CCDS47849.1,ENSG00000029534.15,NM_001142446.1,NP_001135918.1,P16157,SPH1"
